file,change_type,line_number,content,conflict
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,1,"file,change_type,line_number,content,conflict",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,2,".github/workflows/sync.yml,REMOVAL,4,# CONFIGURATION — set your defaults here,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,3,".github/workflows/sync.yml,REMOVAL,5,# All values can be overridden at runtime via workflow_dispatch inputs,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,4,".github/workflows/sync.yml,REMOVAL,6,# ─────────────────────────────────────────────────────────────────────────────,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,5,".github/workflows/sync.yml,REMOVAL,7,# from_branch   : branch changes come FROM (e.g. master),false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,6,".github/workflows/sync.yml,REMOVAL,8,# to_branch     : branch changes go INTO  (e.g. release),false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,7,".github/workflows/sync.yml,REMOVAL,9,# csv_branch    : branch where diff_summary.csv is committed (e.g. release),false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,8,".github/workflows/sync.yml,REMOVAL,10,""# notify_users  : comma-separated GitHub usernames to notify (e.g. user1,user2)"",false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,9,".github/workflows/sync.yml,ADDITION,4,# CONFIGURATION — all branch names and settings come from GitHub Repo Variables,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,10,".github/workflows/sync.yml,ADDITION,5,# No hardcoded values anywhere in this file.,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,11,".github/workflows/sync.yml,ADDITION,6,#,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,12,".github/workflows/sync.yml,ADDITION,7,# Required setup (one time):,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,13,".github/workflows/sync.yml,ADDITION,8,#   GitHub repo → Settings → Secrets and variables → Actions → Variables tab,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,14,".github/workflows/sync.yml,ADDITION,9,#,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,15,".github/workflows/sync.yml,ADDITION,10,#   Variable Name    Description                        Example,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,16,".github/workflows/sync.yml,ADDITION,11,#   ─────────────    ─────────────────────────────────  ──────────────────────,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,17,".github/workflows/sync.yml,ADDITION,12,#   FROM_BRANCH      Branch changes come FROM           master,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,18,".github/workflows/sync.yml,ADDITION,13,#   TO_BRANCH        Branch changes go INTO             mod-release,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,19,".github/workflows/sync.yml,ADDITION,14,#   CSV_BRANCH       Branch where CSV is committed      mod-release,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,20,".github/workflows/sync.yml,ADDITION,15,""#   NOTIFY_USERS     Comma-separated GitHub usernames   user1,user2"",false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,21,".github/workflows/sync.yml,ADDITION,16,#,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,22,".github/workflows/sync.yml,ADDITION,17,# To change branches or notify users:,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,23,".github/workflows/sync.yml,ADDITION,18,""#   Just update the variables on GitHub — no code change, no push needed."",false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,24,".github/workflows/sync.yml,REMOVAL,14,  # ── Automatic: fires when a PR is merged ──────────────────────────────────,false",true
.github/sync-diffs/PR-11-master-to-mod-release-diff_summary.csv,REMOVAL,25,".github/workflows/sync.yml,ADDITION,22,  # ── Automatic: fires when a PR is merged into any branch ──────────────────,false",true
